code,name,description
AI_V 100,Introduction to Artificial Intelligence,"Core methodological paradigms in AI. Strengths and limitations of modern AI systems. Social impacts of AI technologies: economic, cultural, scientific, environmental, political. Philosophical implications and plausible future trajectories for AI. [3-0-1]"
AI_V 240,Introduction to Machine Learning,"Core methodological paradigms in machine learning. Models for supervised prediction and unsupervised analysis. Deep learning techniques using differentiable programming. [3-2-0] Prerequisite: Both (a) one of CPSC_V 107, CPSC_V 110 and (b) one of MATH_V 111, MATH_V 131, MATH_V 152, MATH_V 221, MATH_V 223, MATH_O 221, MATH_O 222."
AI_V 322,Foundations of Artificial Intelligence,"Introduction to representation and reasoning via topics such as Search, problem-solving and planning, logic, probabilistic graphical models, preference models, Markov decision processes and reinforcement learning, as well as multi-agent decision making [3-0-0] Prerequisites: Either CPSC_V 340 or all of (a) one of AI_V 240, CPSC_V 330 and (b) one of CPSC_V 221, DSCI_V 221 and (c) one of STAT_V 251, ECON_V 325, ECON_V 327, MATH_V 302, STAT_V 302, MATH_V 318. Equivalency: CPSC_V 322."
AI_V 360,Deep Learning,"Advanced machine learning focused on deep learning in practice: mathematical foundations, models for unstructured, sequential, spatial, and graph data, methods for prediction, generative modeling, and reinforcement learning, and hands-on experience designing, optimizing, tuning, and applying deep models. [3-0-1] Prerequisites: Either CPSC_V 340 or all of (a) one of AI_V 240, CPEN_V 355 and (b) MATH_V 200 and (c) one of STAT_V 251, ECON_V 325, ECON_V 327, MATH_V 302, STAT_V 302, MATH_V 318."
AI_V 422,Intelligent Systems,"Principles and techniques underlying the design, implementation and evaluation of intelligent computational systems. Applications of artificial intelligence to natural language understanding, image understanding and computer-based expert and advisor systems. Advanced symbolic programming methodology. [3-0-0] Prerequisite: One of AI_V 322, CPSC_V 322. Equivalency: CPSC_V 422."
ASIC_V 200,Global Issues in the Arts and Sciences,Selected global issues explored through the methodologies and perspectives of both the physical and life sciences and the humanities and social sciences. [3-0-0] Prerequisite: Second year standing in the Faculty of Arts or Faculty of Science.
ASIC_V 220,Introduction to Sustainability,"Sustainability examined from scientific, economic, and societal perspectives. [3-0-0] Prerequisite: Second-year standing."
ASTR_V 101,Introduction to the Solar System,"General principles of the celestial sphere, laws of motion and light, optics, and telescopes; current knowledge of the Sun and Solar System. [3-2*-0] Prerequisite: One of PHYS 11, PHYS 12, PHYS_V 100, PHYS_O 112 and Principles of Mathematics 12."
ASTR_V 102,Introduction to Stars and Galaxies,"Modern stellar and extragalactic astronomy. Stars and stellar evolution from protostars to black holes; galaxies and quasars; cosmology. ASTR_V 200/205 rather than ASTR_V 102 are recommended for students who intend to pursue studies in Astronomy. [3-2*-0] Prerequisite: One of PHYS 11, PHYS 12, PHYS_V 100, PHYS_O 112 and Principles of Mathematics 12."
ASTR_V 200,Frontiers of Astrophysics,"Stellar masses and evolution. White dwarfs, neutron stars, and black holes. Extrasolar planet formation and detection. Dark matter in the Milky Way and other galaxies. Cosmological observations and principles. [3-0-0] Prerequisite: Either (a) one of PHYS_V 101, PHYS_V 106, PHYS_V 107, PHYS_V 117, PHYS_V 131, PHYS_V 153, PHYS_V 157, PHYS_O 111 and one of MATH_V 101, MATH_V 103, MATH_V 105, MATH_V 121, MATH_O 101, MATH_O 103; or (b) SCIE_V 001."
